reactionId	compartment	r ; p	ratelaw
vGac1	Mitochondria	mit_gene_i__MT_ND1_ ; mit_gene_a__MT_ND1_	kGac1 * mit_gene_i__MT_ND1_
vGac2	Mitochondria	mit_gene_i__MT_ND2_ ; mit_gene_a__MT_ND2_	kGac2 * mit_gene_i__MT_ND2_
vGac3	Mitochondria	mit_gene_i__MT_CO1_ ; mit_gene_a__MT_CO1_	kGac3 * mit_gene_i__MT_CO1_
vGac4	Mitochondria	mit_gene_i__MT_CO2_ ; mit_gene_a__MT_CO2_	kGac4 * mit_gene_i__MT_CO2_
vGac5	Mitochondria	mit_gene_i__MT_ATP8_ ; mit_gene_a__MT_ATP8_	kGac5 * mit_gene_i__MT_ATP8_
vGac6	Mitochondria	mit_gene_i__MT_ATP6_ ; mit_gene_a__MT_ATP6_	kGac6 * mit_gene_i__MT_ATP6_
vGac7	Mitochondria	mit_gene_i__MT_CO3_ ; mit_gene_a__MT_CO3_	kGac7 * mit_gene_i__MT_CO3_
vGac8	Mitochondria	mit_gene_i__MT_ND3_ ; mit_gene_a__MT_ND3_	kGac8 * mit_gene_i__MT_ND3_
vGac9	Mitochondria	mit_gene_i__MT_ND4L_ ; mit_gene_a__MT_ND4L_	kGac9 * mit_gene_i__MT_ND4L_
vGac10	Mitochondria	mit_gene_i__MT_ND4_ ; mit_gene_a__MT_ND4_	kGac10 * mit_gene_i__MT_ND4_
vGac11	Mitochondria	mit_gene_i__MT_ND5_ ; mit_gene_a__MT_ND5_	kGac11 * mit_gene_i__MT_ND5_
vGac12	Mitochondria	mit_gene_i__MT_ND6_ ; mit_gene_a__MT_ND6_	kGac12 * mit_gene_i__MT_ND6_
vGac13	Mitochondria	mit_gene_i__MT_CYB_ ; mit_gene_a__MT_CYB_	kGac13 * mit_gene_i__MT_CYB_
vGac14	Nucleus	nuc_gene_i__RYBP_ ; nuc_gene_a__RYBP_	kGac14 * nuc_gene_i__RYBP_
vGac15	Nucleus	nuc_gene_i__ACR_ ; nuc_gene_a__ACR_	kGac15 * nuc_gene_i__ACR_
vGac16	Nucleus	nuc_gene_i__PRAMEF11_ ; nuc_gene_a__PRAMEF11_	kGac16 * nuc_gene_i__PRAMEF11_
vGac17	Nucleus	nuc_gene_i__HNRNPCL1_ ; nuc_gene_a__HNRNPCL1_	kGac17 * nuc_gene_i__HNRNPCL1_
vGac18	Nucleus	nuc_gene_i__PRAMEF2_ ; nuc_gene_a__PRAMEF2_	kGac18 * nuc_gene_i__PRAMEF2_
vGac19	Nucleus	nuc_gene_i__PRAMEF4_ ; nuc_gene_a__PRAMEF4_	kGac19 * nuc_gene_i__PRAMEF4_
vGac20	Nucleus	nuc_gene_i__PRAMEF10_ ; nuc_gene_a__PRAMEF10_	kGac20 * nuc_gene_i__PRAMEF10_
vGac21	Nucleus	nuc_gene_i__PRAMEF7_ ; nuc_gene_a__PRAMEF7_	kGac21 * nuc_gene_i__PRAMEF7_
vGac22	Nucleus	nuc_gene_i__PPP1R27_ ; nuc_gene_a__PPP1R27_	kGac22 * nuc_gene_i__PPP1R27_
vGac23	Nucleus	nuc_gene_i__PRAMEF6_ ; nuc_gene_a__PRAMEF6_	kGac23 * nuc_gene_i__PRAMEF6_
vGac24	Nucleus	nuc_gene_i__PRAMEF27_ ; nuc_gene_a__PRAMEF27_	kGac24 * nuc_gene_i__PRAMEF27_
vGac25	Nucleus	nuc_gene_i__HNRNPCL3_ ; nuc_gene_a__HNRNPCL3_	kGac25 * nuc_gene_i__HNRNPCL3_
vGac26	Nucleus	nuc_gene_i__PRAMEF25_ ; nuc_gene_a__PRAMEF25_	kGac26 * nuc_gene_i__PRAMEF25_
vGac27	Nucleus	nuc_gene_i__HNRNPCL2_ ; nuc_gene_a__HNRNPCL2_	kGac27 * nuc_gene_i__HNRNPCL2_
vGac28	Nucleus	nuc_gene_i__MUC5AC_ ; nuc_gene_a__MUC5AC_	kGac28 * nuc_gene_i__MUC5AC_
vGac29	Nucleus	nuc_gene_i__PRAMEF26_ ; nuc_gene_a__PRAMEF26_	kGac29 * nuc_gene_i__PRAMEF26_
vGac30	Nucleus	nuc_gene_i__HNRNPCL4_ ; nuc_gene_a__HNRNPCL4_	kGac30 * nuc_gene_i__HNRNPCL4_
vGac31	Nucleus	nuc_gene_i__PRAMEF13_ ; nuc_gene_a__PRAMEF13_	kGac31 * nuc_gene_i__PRAMEF13_
vGac32	Nucleus	nuc_gene_i__PRAMEF18_ ; nuc_gene_a__PRAMEF18_	kGac32 * nuc_gene_i__PRAMEF18_
vGac33	Nucleus	nuc_gene_i__PRAMEF5_ ; nuc_gene_a__PRAMEF5_	kGac33 * nuc_gene_i__PRAMEF5_
vGac34	Nucleus	nuc_gene_i__PRAMEF8_ ; nuc_gene_a__PRAMEF8_	kGac34 * nuc_gene_i__PRAMEF8_
vGac35	Nucleus	nuc_gene_i__PRAMEF33_ ; nuc_gene_a__PRAMEF33_	kGac35 * nuc_gene_i__PRAMEF33_
vGac36	Nucleus	nuc_gene_i__OR9G4_ ; nuc_gene_a__OR9G4_	kGac36 * nuc_gene_i__OR9G4_
vGac37	Nucleus	nuc_gene_i__SYT15B_ ; nuc_gene_a__SYT15B_	kGac37 * nuc_gene_i__SYT15B_
vGac38	Nucleus	nuc_gene_i__NPY4R2_ ; nuc_gene_a__NPY4R2_	kGac38 * nuc_gene_i__NPY4R2_
vGac39	Nucleus	nuc_gene_i__FAM25C_ ; nuc_gene_a__FAM25C_	kGac39 * nuc_gene_i__FAM25C_
vGac40	Nucleus	nuc_gene_i__TOLLIP_ ; nuc_gene_a__TOLLIP_	kGac40 * nuc_gene_i__TOLLIP_
vGac41	Nucleus	nuc_gene_i__LRP6_ ; nuc_gene_a__LRP6_	kGac41 * nuc_gene_i__LRP6_
vGac42	Nucleus	nuc_gene_i__BRSK2_ ; nuc_gene_a__BRSK2_	kGac42 * nuc_gene_i__BRSK2_
vGac43	Nucleus	nuc_gene_i__MANSC1_ ; nuc_gene_a__MANSC1_	kGac43 * nuc_gene_i__MANSC1_
vGac44	Nucleus	nuc_gene_i__DUSP8_ ; nuc_gene_a__DUSP8_	kGac44 * nuc_gene_i__DUSP8_
vGac45	Nucleus	nuc_gene_i__KRTAP5_1_ ; nuc_gene_a__KRTAP5_1_	kGac45 * nuc_gene_i__KRTAP5_1_
vGac46	Nucleus	nuc_gene_i__KRTAP5_2_ ; nuc_gene_a__KRTAP5_2_	kGac46 * nuc_gene_i__KRTAP5_2_
vGac47	Nucleus	nuc_gene_i__KRTAP5_3_ ; nuc_gene_a__KRTAP5_3_	kGac47 * nuc_gene_i__KRTAP5_3_
vGac48	Nucleus	nuc_gene_i__KRTAP5_5_ ; nuc_gene_a__KRTAP5_5_	kGac48 * nuc_gene_i__KRTAP5_5_
vGac49	Nucleus	nuc_gene_i__BORCS5_ ; nuc_gene_a__BORCS5_	kGac49 * nuc_gene_i__BORCS5_
vGac50	Nucleus	nuc_gene_i__MOB2_ ; nuc_gene_a__MOB2_	kGac50 * nuc_gene_i__MOB2_
vGac51	Nucleus	nuc_gene_i__DUSP16_ ; nuc_gene_a__DUSP16_	kGac51 * nuc_gene_i__DUSP16_
vGac52	Nucleus	nuc_gene_i__HMX1_ ; nuc_gene_a__HMX1_	kGac52 * nuc_gene_i__HMX1_
vGac53	Nucleus	nuc_gene_i__TSPY8_ ; nuc_gene_a__TSPY8_	kGac53 * nuc_gene_i__TSPY8_
vGac54	Nucleus	nuc_gene_i__TSPY4_ ; nuc_gene_a__TSPY4_	kGac54 * nuc_gene_i__TSPY4_
vGac55	Nucleus	nuc_gene_i__FAM20C_ ; nuc_gene_a__FAM20C_	kGac55 * nuc_gene_i__FAM20C_
vGac56	Nucleus	nuc_gene_i__SERTAD4_ ; nuc_gene_a__SERTAD4_	kGac56 * nuc_gene_i__SERTAD4_
vGac57	Nucleus	nuc_gene_i__OR4C12_ ; nuc_gene_a__OR4C12_	kGac57 * nuc_gene_i__OR4C12_
vGac58	Nucleus	nuc_gene_i__OR4C45_ ; nuc_gene_a__OR4C45_	kGac58 * nuc_gene_i__OR4C45_
vGac59	Nucleus	nuc_gene_i__GRK1_ ; nuc_gene_a__GRK1_	kGac59 * nuc_gene_i__GRK1_
vGac60	Nucleus	nuc_gene_i__HHAT_ ; nuc_gene_a__HHAT_	kGac60 * nuc_gene_i__HHAT_
vGac61	Nucleus	nuc_gene_i__ARHGEF19_ ; nuc_gene_a__ARHGEF19_	kGac61 * nuc_gene_i__ARHGEF19_
vGac62	Nucleus	nuc_gene_i__CPLANE2_ ; nuc_gene_a__CPLANE2_	kGac62 * nuc_gene_i__CPLANE2_
vGac63	Nucleus	nuc_gene_i__FBXO42_ ; nuc_gene_a__FBXO42_	kGac63 * nuc_gene_i__FBXO42_
vGac64	Nucleus	nuc_gene_i__SZRD1_ ; nuc_gene_a__SZRD1_	kGac64 * nuc_gene_i__SZRD1_
vGac65	Nucleus	nuc_gene_i__SPATA21_ ; nuc_gene_a__SPATA21_	kGac65 * nuc_gene_i__SPATA21_
vGac66	Nucleus	nuc_gene_i__NECAP2_ ; nuc_gene_a__NECAP2_	kGac66 * nuc_gene_i__NECAP2_
vGac67	Nucleus	nuc_gene_i__PADI2_ ; nuc_gene_a__PADI2_	kGac67 * nuc_gene_i__PADI2_
vGac68	Nucleus	nuc_gene_i__GPR20_ ; nuc_gene_a__GPR20_	kGac68 * nuc_gene_i__GPR20_
vGac69	Nucleus	nuc_gene_i__PTP4A3_ ; nuc_gene_a__PTP4A3_	kGac69 * nuc_gene_i__PTP4A3_
vGac70	Nucleus	nuc_gene_i__C8orf90_ ; nuc_gene_a__C8orf90_	kGac70 * nuc_gene_i__C8orf90_
vGac71	Nucleus	nuc_gene_i__MROH5_ ; nuc_gene_a__MROH5_	kGac71 * nuc_gene_i__MROH5_
vGac72	Nucleus	nuc_gene_i__ORAI1_ ; nuc_gene_a__ORAI1_	kGac72 * nuc_gene_i__ORAI1_
vGac73	Nucleus	nuc_gene_i__CRLF2_ ; nuc_gene_a__CRLF2_	kGac73 * nuc_gene_i__CRLF2_
vGac74	Nucleus	nuc_gene_i__ACTG1_ ; nuc_gene_a__ACTG1_	kGac74 * nuc_gene_i__ACTG1_
vGac75	Nucleus	nuc_gene_i__C6orf52_ ; nuc_gene_a__C6orf52_	kGac75 * nuc_gene_i__C6orf52_
vGac76	Nucleus	nuc_gene_i__PAK1IP1_ ; nuc_gene_a__PAK1IP1_	kGac76 * nuc_gene_i__PAK1IP1_
vGac77	Nucleus	nuc_gene_i__TMEM14C_ ; nuc_gene_a__TMEM14C_	kGac77 * nuc_gene_i__TMEM14C_
vGac78	Nucleus	nuc_gene_i__IL3RA_ ; nuc_gene_a__IL3RA_	kGac78 * nuc_gene_i__IL3RA_
vGac79	Nucleus	nuc_gene_i__GCNT2_ ; nuc_gene_a__GCNT2_	kGac79 * nuc_gene_i__GCNT2_
vGac80	Nucleus	nuc_gene_i__SLC25A6_ ; nuc_gene_a__SLC25A6_	kGac80 * nuc_gene_i__SLC25A6_
vGac81	Nucleus	nuc_gene_i__ASMTL_ ; nuc_gene_a__ASMTL_	kGac81 * nuc_gene_i__ASMTL_
vGac82	Nucleus	nuc_gene_i__ECSCR_ ; nuc_gene_a__ECSCR_	kGac82 * nuc_gene_i__ECSCR_
vGac83	Nucleus	nuc_gene_i__SMIM33_ ; nuc_gene_a__SMIM33_	kGac83 * nuc_gene_i__SMIM33_
vGac84	Nucleus	nuc_gene_i__STING1_ ; nuc_gene_a__STING1_	kGac84 * nuc_gene_i__STING1_
vGac85	Nucleus	nuc_gene_i__VAMP7_ ; nuc_gene_a__VAMP7_	kGac85 * nuc_gene_i__VAMP7_
vGac86	Nucleus	nuc_gene_i__BPY2_ ; nuc_gene_a__BPY2_	kGac86 * nuc_gene_i__BPY2_
vGac87	Nucleus	nuc_gene_i__HSFY2_ ; nuc_gene_a__HSFY2_	kGac87 * nuc_gene_i__HSFY2_
vGac88	Nucleus	nuc_gene_i__HSFY1_ ; nuc_gene_a__HSFY1_	kGac88 * nuc_gene_i__HSFY1_
vGac89	Nucleus	nuc_gene_i__TGIF2LY_ ; nuc_gene_a__TGIF2LY_	kGac89 * nuc_gene_i__TGIF2LY_
vGac90	Nucleus	nuc_gene_i__CDY2A_ ; nuc_gene_a__CDY2A_	kGac90 * nuc_gene_i__CDY2A_
vGac91	Nucleus	nuc_gene_i__BPY2C_ ; nuc_gene_a__BPY2C_	kGac91 * nuc_gene_i__BPY2C_
vGac92	Nucleus	nuc_gene_i__ITGA9_ ; nuc_gene_a__ITGA9_	kGac92 * nuc_gene_i__ITGA9_
vGac93	Nucleus	nuc_gene_i__CDY2B_ ; nuc_gene_a__CDY2B_	kGac93 * nuc_gene_i__CDY2B_
vGac94	Nucleus	nuc_gene_i__SRY_ ; nuc_gene_a__SRY_	kGac94 * nuc_gene_i__SRY_
vGac95	Nucleus	nuc_gene_i__RPS4Y1_ ; nuc_gene_a__RPS4Y1_	kGac95 * nuc_gene_i__RPS4Y1_
vGac96	Nucleus	nuc_gene_i__TMSB4Y_ ; nuc_gene_a__TMSB4Y_	kGac96 * nuc_gene_i__TMSB4Y_
vGac97	Nucleus	nuc_gene_i__VCY_ ; nuc_gene_a__VCY_	kGac97 * nuc_gene_i__VCY_
vGac98	Nucleus	nuc_gene_i__DAZ3_ ; nuc_gene_a__DAZ3_	kGac98 * nuc_gene_i__DAZ3_
vGac99	Nucleus	nuc_gene_i__DAZ1_ ; nuc_gene_a__DAZ1_	kGac99 * nuc_gene_i__DAZ1_
vGac100	Nucleus	nuc_gene_i__AMELY_ ; nuc_gene_a__AMELY_	kGac100 * nuc_gene_i__AMELY_
vGac101	Nucleus	nuc_gene_i__TBL1Y_ ; nuc_gene_a__TBL1Y_	kGac101 * nuc_gene_i__TBL1Y_
vGac102	Nucleus	nuc_gene_i__VCY1B_ ; nuc_gene_a__VCY1B_	kGac102 * nuc_gene_i__VCY1B_
vGac103	Nucleus	nuc_gene_i__RPS4Y2_ ; nuc_gene_a__RPS4Y2_	kGac103 * nuc_gene_i__RPS4Y2_
vGac104	Nucleus	nuc_gene_i__C1RL_ ; nuc_gene_a__C1RL_	kGac104 * nuc_gene_i__C1RL_
vGac105	Nucleus	nuc_gene_i__RBP5_ ; nuc_gene_a__RBP5_	kGac105 * nuc_gene_i__RBP5_
vGac106	Nucleus	nuc_gene_i__CDY1B_ ; nuc_gene_a__CDY1B_	kGac106 * nuc_gene_i__CDY1B_
vGac107	Nucleus	nuc_gene_i__BPY2B_ ; nuc_gene_a__BPY2B_	kGac107 * nuc_gene_i__BPY2B_
vGac108	Nucleus	nuc_gene_i__CDY1_ ; nuc_gene_a__CDY1_	kGac108 * nuc_gene_i__CDY1_
vGac109	Nucleus	nuc_gene_i__CLSTN3_ ; nuc_gene_a__CLSTN3_	kGac109 * nuc_gene_i__CLSTN3_
vGac110	Nucleus	nuc_gene_i__RBMY1B_ ; nuc_gene_a__RBMY1B_	kGac110 * nuc_gene_i__RBMY1B_
vGac111	Nucleus	nuc_gene_i__RBMY1A1_ ; nuc_gene_a__RBMY1A1_	kGac111 * nuc_gene_i__RBMY1A1_
vGac112	Nucleus	nuc_gene_i__IBTK_ ; nuc_gene_a__IBTK_	kGac112 * nuc_gene_i__IBTK_
vGac113	Nucleus	nuc_gene_i__TPBG_ ; nuc_gene_a__TPBG_	kGac113 * nuc_gene_i__TPBG_
vGac114	Nucleus	nuc_gene_i__TSPY3_ ; nuc_gene_a__TSPY3_	kGac114 * nuc_gene_i__TSPY3_
vGac115	Nucleus	nuc_gene_i__TSPY1_ ; nuc_gene_a__TSPY1_	kGac115 * nuc_gene_i__TSPY1_
vGac116	Nucleus	nuc_gene_i__TSPY9_ ; nuc_gene_a__TSPY9_	kGac116 * nuc_gene_i__TSPY9_
vGac117	Nucleus	nuc_gene_i__TRIM71_ ; nuc_gene_a__TRIM71_	kGac117 * nuc_gene_i__TRIM71_
vGac118	Nucleus	nuc_gene_i__TSPY10_ ; nuc_gene_a__TSPY10_	kGac118 * nuc_gene_i__TSPY10_
vGac119	Nucleus	nuc_gene_i__CNOT10_ ; nuc_gene_a__CNOT10_	kGac119 * nuc_gene_i__CNOT10_
vGac120	Nucleus	nuc_gene_i__TSPY2_ ; nuc_gene_a__TSPY2_	kGac120 * nuc_gene_i__TSPY2_
vGac121	Nucleus	nuc_gene_i__OR5T2_ ; nuc_gene_a__OR5T2_	kGac121 * nuc_gene_i__OR5T2_
vGac122	Nucleus	nuc_gene_i__OR5T3_ ; nuc_gene_a__OR5T3_	kGac122 * nuc_gene_i__OR5T3_
vGac123	Nucleus	nuc_gene_i__OR5T1_ ; nuc_gene_a__OR5T1_	kGac123 * nuc_gene_i__OR5T1_
vGac124	Nucleus	nuc_gene_i__OR8H1_ ; nuc_gene_a__OR8H1_	kGac124 * nuc_gene_i__OR8H1_
vGac125	Nucleus	nuc_gene_i__OR8K3_ ; nuc_gene_a__OR8K3_	kGac125 * nuc_gene_i__OR8K3_
vGac126	Nucleus	nuc_gene_i__OR8K1_ ; nuc_gene_a__OR8K1_	kGac126 * nuc_gene_i__OR8K1_
vGac127	Nucleus	nuc_gene_i__OR8J1_ ; nuc_gene_a__OR8J1_	kGac127 * nuc_gene_i__OR8J1_
vGac128	Nucleus	nuc_gene_i__OR8U9_ ; nuc_gene_a__OR8U9_	kGac128 * nuc_gene_i__OR8U9_
vGac129	Nucleus	nuc_gene_i__H3_4_ ; nuc_gene_a__H3_4_	kGac129 * nuc_gene_i__H3_4_
vGac130	Nucleus	nuc_gene_i__H2AC25_ ; nuc_gene_a__H2AC25_	kGac130 * nuc_gene_i__H2AC25_
vGac131	Nucleus	nuc_gene_i__H2BC26_ ; nuc_gene_a__H2BC26_	kGac131 * nuc_gene_i__H2BC26_
vGac132	Nucleus	nuc_gene_i__RNF187_ ; nuc_gene_a__RNF187_	kGac132 * nuc_gene_i__RNF187_
vGac133	Nucleus	nuc_gene_i__RHOU_ ; nuc_gene_a__RHOU_	kGac133 * nuc_gene_i__RHOU_
vGac134	Nucleus	nuc_gene_i__ELP5_ ; nuc_gene_a__ELP5_	kGac134 * nuc_gene_i__ELP5_
vGac135	Nucleus	nuc_gene_i__CLDN7_ ; nuc_gene_a__CLDN7_	kGac135 * nuc_gene_i__CLDN7_
vGac136	Nucleus	nuc_gene_i__RBMY1D_ ; nuc_gene_a__RBMY1D_	kGac136 * nuc_gene_i__RBMY1D_
vGac137	Nucleus	nuc_gene_i__LEUTX_ ; nuc_gene_a__LEUTX_	kGac137 * nuc_gene_i__LEUTX_
vGac138	Nucleus	nuc_gene_i__SLC2A4_ ; nuc_gene_a__SLC2A4_	kGac138 * nuc_gene_i__SLC2A4_
vGac139	Nucleus	nuc_gene_i__RBMY1E_ ; nuc_gene_a__RBMY1E_	kGac139 * nuc_gene_i__RBMY1E_
vGac140	Nucleus	nuc_gene_i__YBX2_ ; nuc_gene_a__YBX2_	kGac140 * nuc_gene_i__YBX2_
vGac141	Nucleus	nuc_gene_i__DYRK1B_ ; nuc_gene_a__DYRK1B_	kGac141 * nuc_gene_i__DYRK1B_
vGac142	Nucleus	nuc_gene_i__RBMY1F_ ; nuc_gene_a__RBMY1F_	kGac142 * nuc_gene_i__RBMY1F_
vGac143	Nucleus	nuc_gene_i__FBL_ ; nuc_gene_a__FBL_	kGac143 * nuc_gene_i__FBL_
vGac144	Nucleus	nuc_gene_i__PSMC4_ ; nuc_gene_a__PSMC4_	kGac144 * nuc_gene_i__PSMC4_
vGac145	Nucleus	nuc_gene_i__RBMY1J_ ; nuc_gene_a__RBMY1J_	kGac145 * nuc_gene_i__RBMY1J_
vGac146	Nucleus	nuc_gene_i__ZNF546_ ; nuc_gene_a__ZNF546_	kGac146 * nuc_gene_i__ZNF546_
vGac147	Nucleus	nuc_gene_i__GPS2_ ; nuc_gene_a__GPS2_	kGac147 * nuc_gene_i__GPS2_
vGac148	Nucleus	nuc_gene_i__ZNF780B_ ; nuc_gene_a__ZNF780B_	kGac148 * nuc_gene_i__ZNF780B_
vGac149	Nucleus	nuc_gene_i__ZNF780A_ ; nuc_gene_a__ZNF780A_	kGac149 * nuc_gene_i__ZNF780A_
vGac150	Nucleus	nuc_gene_i__FCGBP_ ; nuc_gene_a__FCGBP_	kGac150 * nuc_gene_i__FCGBP_
vGac151	Nucleus	nuc_gene_i__NEURL4_ ; nuc_gene_a__NEURL4_	kGac151 * nuc_gene_i__NEURL4_
vGac152	Nucleus	nuc_gene_i__CARMIL3_ ; nuc_gene_a__CARMIL3_	kGac152 * nuc_gene_i__CARMIL3_
vGac153	Nucleus	nuc_gene_i__ACAP1_ ; nuc_gene_a__ACAP1_	kGac153 * nuc_gene_i__ACAP1_
vGac154	Nucleus	nuc_gene_i__KCTD11_ ; nuc_gene_a__KCTD11_	kGac154 * nuc_gene_i__KCTD11_
vGac155	Nucleus	nuc_gene_i__FRG2_ ; nuc_gene_a__FRG2_	kGac155 * nuc_gene_i__FRG2_
vGac156	Nucleus	nuc_gene_i__TMEM95_ ; nuc_gene_a__TMEM95_	kGac156 * nuc_gene_i__TMEM95_
vGac157	Nucleus	nuc_gene_i__FRG1_ ; nuc_gene_a__FRG1_	kGac157 * nuc_gene_i__FRG1_
vGac158	Nucleus	nuc_gene_i__CPNE6_ ; nuc_gene_a__CPNE6_	kGac158 * nuc_gene_i__CPNE6_
vGac159	Nucleus	nuc_gene_i__DDX3Y_ ; nuc_gene_a__DDX3Y_	kGac159 * nuc_gene_i__DDX3Y_
vGac160	Nucleus	nuc_gene_i__DUX4_ ; nuc_gene_a__DUX4_	kGac160 * nuc_gene_i__DUX4_
vGac161	Nucleus	nuc_gene_i__NRL_ ; nuc_gene_a__NRL_	kGac161 * nuc_gene_i__NRL_
vGac162	Nucleus	nuc_gene_i__GJA10_ ; nuc_gene_a__GJA10_	kGac162 * nuc_gene_i__GJA10_
vGac163	Nucleus	nuc_gene_i__CASP8AP2_ ; nuc_gene_a__CASP8AP2_	kGac163 * nuc_gene_i__CASP8AP2_
vGac164	Nucleus	nuc_gene_i__PCK2_ ; nuc_gene_a__PCK2_	kGac164 * nuc_gene_i__PCK2_
vGac165	Nucleus	nuc_gene_i__USP9Y_ ; nuc_gene_a__USP9Y_	kGac165 * nuc_gene_i__USP9Y_
vGac166	Nucleus	nuc_gene_i__DCAF11_ ; nuc_gene_a__DCAF11_	kGac166 * nuc_gene_i__DCAF11_
vGac167	Nucleus	nuc_gene_i__FITM1_ ; nuc_gene_a__FITM1_	kGac167 * nuc_gene_i__FITM1_
vGac168	Nucleus	nuc_gene_i__PSME1_ ; nuc_gene_a__PSME1_	kGac168 * nuc_gene_i__PSME1_
vGac169	Nucleus	nuc_gene_i__NXNL2_ ; nuc_gene_a__NXNL2_	kGac169 * nuc_gene_i__NXNL2_
vGac170	Nucleus	nuc_gene_i__EMC9_ ; nuc_gene_a__EMC9_	kGac170 * nuc_gene_i__EMC9_
vGac171	Nucleus	nuc_gene_i__OBP2B_ ; nuc_gene_a__OBP2B_	kGac171 * nuc_gene_i__OBP2B_
vGac172	Nucleus	nuc_gene_i__SURF6_ ; nuc_gene_a__SURF6_	kGac172 * nuc_gene_i__SURF6_
vGac173	Nucleus	nuc_gene_i__RNF31_ ; nuc_gene_a__RNF31_	kGac173 * nuc_gene_i__RNF31_
vGac174	Nucleus	nuc_gene_i__MED22_ ; nuc_gene_a__MED22_	kGac174 * nuc_gene_i__MED22_
vGac175	Nucleus	nuc_gene_i__IRF9_ ; nuc_gene_a__IRF9_	kGac175 * nuc_gene_i__IRF9_
vGac176	Nucleus	nuc_gene_i__RPL7A_ ; nuc_gene_a__RPL7A_	kGac176 * nuc_gene_i__RPL7A_
vGac177	Nucleus	nuc_gene_i__REC8_ ; nuc_gene_a__REC8_	kGac177 * nuc_gene_i__REC8_
vGac178	Nucleus	nuc_gene_i__SURF1_ ; nuc_gene_a__SURF1_	kGac178 * nuc_gene_i__SURF1_
vGac179	Nucleus	nuc_gene_i__SURF2_ ; nuc_gene_a__SURF2_	kGac179 * nuc_gene_i__SURF2_
vGac180	Nucleus	nuc_gene_i__SURF4_ ; nuc_gene_a__SURF4_	kGac180 * nuc_gene_i__SURF4_
vGac181	Nucleus	nuc_gene_i__IPO4_ ; nuc_gene_a__IPO4_	kGac181 * nuc_gene_i__IPO4_
vGac182	Nucleus	nuc_gene_i__STKLD1_ ; nuc_gene_a__STKLD1_	kGac182 * nuc_gene_i__STKLD1_
vGac183	Nucleus	nuc_gene_i__KDM5D_ ; nuc_gene_a__KDM5D_	kGac183 * nuc_gene_i__KDM5D_
vGac184	Nucleus	nuc_gene_i__REXO4_ ; nuc_gene_a__REXO4_	kGac184 * nuc_gene_i__REXO4_
vGac185	Nucleus	nuc_gene_i__ZFY_ ; nuc_gene_a__ZFY_	kGac185 * nuc_gene_i__ZFY_
vGac186	Nucleus	nuc_gene_i__EIF1AY_ ; nuc_gene_a__EIF1AY_	kGac186 * nuc_gene_i__EIF1AY_
vGac187	Nucleus	nuc_gene_i__TM9SF1_ ; nuc_gene_a__TM9SF1_	kGac187 * nuc_gene_i__TM9SF1_
vGac188	Nucleus	nuc_gene_i__TSSK4_ ; nuc_gene_a__TSSK4_	kGac188 * nuc_gene_i__TSSK4_
vGac189	Nucleus	nuc_gene_i__CHMP4A_ ; nuc_gene_a__CHMP4A_	kGac189 * nuc_gene_i__CHMP4A_
vGac190	Nucleus	nuc_gene_i__MDP1_ ; nuc_gene_a__MDP1_	kGac190 * nuc_gene_i__MDP1_
vGac191	Nucleus	nuc_gene_i__ADAMTS13_ ; nuc_gene_a__ADAMTS13_	kGac191 * nuc_gene_i__ADAMTS13_
vGac192	Nucleus	nuc_gene_i__NEDD8_ ; nuc_gene_a__NEDD8_	kGac192 * nuc_gene_i__NEDD8_
vGac193	Nucleus	nuc_gene_i__CACFD1_ ; nuc_gene_a__CACFD1_	kGac193 * nuc_gene_i__CACFD1_
vGac194	Nucleus	nuc_gene_i__SLC2A6_ ; nuc_gene_a__SLC2A6_	kGac194 * nuc_gene_i__SLC2A6_
vGac195	Nucleus	nuc_gene_i__TNK1_ ; nuc_gene_a__TNK1_	kGac195 * nuc_gene_i__TNK1_
vGac196	Nucleus	nuc_gene_i__TINF2_ ; nuc_gene_a__TINF2_	kGac196 * nuc_gene_i__TINF2_
vGac197	Nucleus	nuc_gene_i__PLSCR3_ ; nuc_gene_a__PLSCR3_	kGac197 * nuc_gene_i__PLSCR3_
vGac198	Nucleus	nuc_gene_i__TGM1_ ; nuc_gene_a__TGM1_	kGac198 * nuc_gene_i__TGM1_
vGac199	Nucleus	nuc_gene_i__TMEM256_ ; nuc_gene_a__TMEM256_	kGac199 * nuc_gene_i__TMEM256_
vGac200	Nucleus	nuc_gene_i__ISLR_ ; nuc_gene_a__ISLR_	kGac200 * nuc_gene_i__ISLR_
vGac201	Nucleus	nuc_gene_i__NLGN2_ ; nuc_gene_a__NLGN2_	kGac201 * nuc_gene_i__NLGN2_
vGac202	Nucleus	nuc_gene_i__SPEM1_ ; nuc_gene_a__SPEM1_	kGac202 * nuc_gene_i__SPEM1_
vGac203	Nucleus	nuc_gene_i__SPEM2_ ; nuc_gene_a__SPEM2_	kGac203 * nuc_gene_i__SPEM2_
vGac204	Nucleus	nuc_gene_i__SPEM3_ ; nuc_gene_a__SPEM3_	kGac204 * nuc_gene_i__SPEM3_
vGac205	Nucleus	nuc_gene_i__TMEM102_ ; nuc_gene_a__TMEM102_	kGac205 * nuc_gene_i__TMEM102_
vGac206	Nucleus	nuc_gene_i__FGF11_ ; nuc_gene_a__FGF11_	kGac206 * nuc_gene_i__FGF11_
