reactionId	compartment	r ; p	ratelaw
vGac1269	Nucleus	nuc_gene_i__SLC35E4_ ; nuc_gene_a__SLC35E4_	kGac1269 * nuc_gene_i__SLC35E4_
vGac1270	Nucleus	nuc_gene_i__MCHR1_ ; nuc_gene_a__MCHR1_	kGac1270 * nuc_gene_i__MCHR1_
vGac1271	Nucleus	nuc_gene_i__BMP7_ ; nuc_gene_a__BMP7_	kGac1271 * nuc_gene_i__BMP7_
vGac1272	Nucleus	nuc_gene_i__TUG1_ ; nuc_gene_a__TUG1_	kGac1272 * nuc_gene_i__TUG1_
vGac1273	Nucleus	nuc_gene_i__AFF2_ ; nuc_gene_a__AFF2_	kGac1273 * nuc_gene_i__AFF2_
vGac1274	Nucleus	nuc_gene_i__PRDM15_ ; nuc_gene_a__PRDM15_	kGac1274 * nuc_gene_i__PRDM15_
vGac1275	Nucleus	nuc_gene_i__C20orf203_ ; nuc_gene_a__C20orf203_	kGac1275 * nuc_gene_i__C20orf203_
vGac1276	Nucleus	nuc_gene_i__DCAF12L1_ ; nuc_gene_a__DCAF12L1_	kGac1276 * nuc_gene_i__DCAF12L1_
vGac1277	Nucleus	nuc_gene_i__ADGRG4_ ; nuc_gene_a__ADGRG4_	kGac1277 * nuc_gene_i__ADGRG4_
vGac1278	Nucleus	nuc_gene_i__TMC2_ ; nuc_gene_a__TMC2_	kGac1278 * nuc_gene_i__TMC2_
vGac1279	Nucleus	nuc_gene_i__DDX17_ ; nuc_gene_a__DDX17_	kGac1279 * nuc_gene_i__DDX17_
vGac1280	Nucleus	nuc_gene_i__RAB39B_ ; nuc_gene_a__RAB39B_	kGac1280 * nuc_gene_i__RAB39B_
vGac1281	Nucleus	nuc_gene_i__SOD1_ ; nuc_gene_a__SOD1_	kGac1281 * nuc_gene_i__SOD1_
vGac1282	Nucleus	nuc_gene_i__NAP1L3_ ; nuc_gene_a__NAP1L3_	kGac1282 * nuc_gene_i__NAP1L3_
vGac1283	Nucleus	nuc_gene_i__CEBPB_ ; nuc_gene_a__CEBPB_	kGac1283 * nuc_gene_i__CEBPB_
vGac1284	Nucleus	nuc_gene_i__CT83_ ; nuc_gene_a__CT83_	kGac1284 * nuc_gene_i__CT83_
vGac1285	Nucleus	nuc_gene_i__ALOX5AP_ ; nuc_gene_a__ALOX5AP_	kGac1285 * nuc_gene_i__ALOX5AP_
vGac1286	Nucleus	nuc_gene_i__SPANXA2_ ; nuc_gene_a__SPANXA2_	kGac1286 * nuc_gene_i__SPANXA2_
