reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vGac13735	kGac13735	lin	0.0005	0.0005	0.0005	0
vGac13736	kGac13736	lin	0.0005	0.0005	0.0005	0
vGac13737	kGac13737	lin	0.0005	0.0005	0.0005	0
vGac13738	kGac13738	lin	0.0005	0.0005	0.0005	0
vGac13739	kGac13739	lin	0.0005	0.0005	0.0005	0
vGac13740	kGac13740	lin	0.0005	0.0005	0.0005	0
vGac13741	kGac13741	lin	0.0005	0.0005	0.0005	0
vGac13742	kGac13742	lin	0.0005	0.0005	0.0005	0
vGac13743	kGac13743	lin	0.0005	0.0005	0.0005	0
vGac13744	kGac13744	lin	0.0005	0.0005	0.0005	0
vGac13745	kGac13745	lin	0.0005	0.0005	0.0005	0
vGac13746	kGac13746	lin	0.0005	0.0005	0.0005	0
vGac13747	kGac13747	lin	0.0005	0.0005	0.0005	0
vGac13748	kGac13748	lin	0.0005	0.0005	0.0005	0
vGac13749	kGac13749	lin	0.0005	0.0005	0.0005	0
vGac13750	kGac13750	lin	0.0005	0.0005	0.0005	0
vGac13751	kGac13751	lin	0.0005	0.0005	0.0005	0
vGac13752	kGac13752	lin	0.0005	0.0005	0.0005	0
vGac13753	kGac13753	lin	0.0005	0.0005	0.0005	0
vGac13754	kGac13754	lin	0.0005	0.0005	0.0005	0
vGac13755	kGac13755	lin	0.0005	0.0005	0.0005	0
vGac13756	kGac13756	lin	0.0005	0.0005	0.0005	0
vGac13757	kGac13757	lin	0.0005	0.0005	0.0005	0
vGac13758	kGac13758	lin	0.0005	0.0005	0.0005	0
vGac13759	kGac13759	lin	0.0005	0.0005	0.0005	0
vGac13760	kGac13760	lin	0.0005	0.0005	0.0005	0
vGac13761	kGac13761	lin	0.0005	0.0005	0.0005	0
vGac13762	kGac13762	lin	0.0005	0.0005	0.0005	0
vGac13763	kGac13763	lin	0.0005	0.0005	0.0005	0
vGac13764	kGac13764	lin	0.0005	0.0005	0.0005	0
vGac13765	kGac13765	lin	0.0005	0.0005	0.0005	0
vGac13766	kGac13766	lin	0.0005	0.0005	0.0005	0
vGac13767	kGac13767	lin	0.0005	0.0005	0.0005	0
vGac13768	kGac13768	lin	0.0005	0.0005	0.0005	0
vGac13769	kGac13769	lin	0.0005	0.0005	0.0005	0
vGac13770	kGac13770	lin	0.0005	0.0005	0.0005	0
vGac13771	kGac13771	lin	0.0005	0.0005	0.0005	0
vGac13772	kGac13772	lin	0.0005	0.0005	0.0005	0
vGac13773	kGac13773	lin	0.0005	0.0005	0.0005	0
vGac13774	kGac13774	lin	0.0005	0.0005	0.0005	0
vGac13775	kGac13775	lin	0.0005	0.0005	0.0005	0
vGac13776	kGac13776	lin	0.0005	0.0005	0.0005	0
vGac13777	kGac13777	lin	0.0005	0.0005	0.0005	0
vGac13778	kGac13778	lin	0.0005	0.0005	0.0005	0
vGac13779	kGac13779	lin	0.0005	0.0005	0.0005	0
vGac13780	kGac13780	lin	0.0005	0.0005	0.0005	0
vGac13781	kGac13781	lin	0.0005	0.0005	0.0005	0
vGac13782	kGac13782	lin	0.0005	0.0005	0.0005	0
vGac13783	kGac13783	lin	0.0005	0.0005	0.0005	0
vGac13784	kGac13784	lin	0.0005	0.0005	0.0005	0
vGac13785	kGac13785	lin	0.0005	0.0005	0.0005	0
vGac13786	kGac13786	lin	0.0005	0.0005	0.0005	0
vGac13787	kGac13787	lin	0.0005	0.0005	0.0005	0
vGac13788	kGac13788	lin	0.0005	0.0005	0.0005	0
vGac13789	kGac13789	lin	0.0005	0.0005	0.0005	0
vGac13790	kGac13790	lin	0.0005	0.0005	0.0005	0
vGac13791	kGac13791	lin	0.0005	0.0005	0.0005	0
vGac13792	kGac13792	lin	0.0005	0.0005	0.0005	0
vGac13793	kGac13793	lin	0.0005	0.0005	0.0005	0
vGac13794	kGac13794	lin	0.0005	0.0005	0.0005	0
vGac13795	kGac13795	lin	0.0005	0.0005	0.0005	0
vGac13796	kGac13796	lin	0.0005	0.0005	0.0005	0
vGac13797	kGac13797	lin	0.0005	0.0005	0.0005	0
vGac13798	kGac13798	lin	0.0005	0.0005	0.0005	0
vGac13799	kGac13799	lin	0.0005	0.0005	0.0005	0
vGac13800	kGac13800	lin	0.0005	0.0005	0.0005	0
vGac13801	kGac13801	lin	0.0005	0.0005	0.0005	0
vGac13802	kGac13802	lin	0.0005	0.0005	0.0005	0
vGac13803	kGac13803	lin	0.0005	0.0005	0.0005	0
vGac13804	kGac13804	lin	0.0005	0.0005	0.0005	0
vGac13805	kGac13805	lin	0.0005	0.0005	0.0005	0
vGac13806	kGac13806	lin	0.0005	0.0005	0.0005	0
vGac13807	kGac13807	lin	0.0005	0.0005	0.0005	0
vGac13808	kGac13808	lin	0.0005	0.0005	0.0005	0
vGac13809	kGac13809	lin	0.0005	0.0005	0.0005	0
vGac13810	kGac13810	lin	0.0005	0.0005	0.0005	0
vGac13811	kGac13811	lin	0.0005	0.0005	0.0005	0
vGac13812	kGac13812	lin	0.0005	0.0005	0.0005	0
vGac13813	kGac13813	lin	0.0005	0.0005	0.0005	0
vGac13814	kGac13814	lin	0.0005	0.0005	0.0005	0
vGac13815	kGac13815	lin	0.0005	0.0005	0.0005	0
vGac13816	kGac13816	lin	0.0005	0.0005	0.0005	0
vGac13817	kGac13817	lin	0.0005	0.0005	0.0005	0
vGac13818	kGac13818	lin	0.0005	0.0005	0.0005	0
vGac13819	kGac13819	lin	0.0005	0.0005	0.0005	0
vGac13820	kGac13820	lin	0.0005	0.0005	0.0005	0
vGac13821	kGac13821	lin	0.0005	0.0005	0.0005	0
vGac13822	kGac13822	lin	0.0005	0.0005	0.0005	0
vGac13823	kGac13823	lin	0.0005	0.0005	0.0005	0
vGac13824	kGac13824	lin	0.0005	0.0005	0.0005	0
vGac13825	kGac13825	lin	0.0005	0.0005	0.0005	0
vGac13826	kGac13826	lin	0.0005	0.0005	0.0005	0
vGac13827	kGac13827	lin	0.0005	0.0005	0.0005	0
vGac13828	kGac13828	lin	0.0005	0.0005	0.0005	0
vGac13829	kGac13829	lin	0.0005	0.0005	0.0005	0
vGac13830	kGac13830	lin	0.0005	0.0005	0.0005	0
vGac13831	kGac13831	lin	0.0005	0.0005	0.0005	0
vGac13832	kGac13832	lin	0.0005	0.0005	0.0005	0
vGac13833	kGac13833	lin	0.0005	0.0005	0.0005	0
vGac13834	kGac13834	lin	0.0005	0.0005	0.0005	0
vGac13835	kGac13835	lin	0.0005	0.0005	0.0005	0
vGac13836	kGac13836	lin	0.0005	0.0005	0.0005	0
vGac13837	kGac13837	lin	0.0005	0.0005	0.0005	0
vGac13838	kGac13838	lin	0.0005	0.0005	0.0005	0
vGac13839	kGac13839	lin	0.0005	0.0005	0.0005	0
vGac13840	kGac13840	lin	0.0005	0.0005	0.0005	0
vGac13841	kGac13841	lin	0.0005	0.0005	0.0005	0
vGac13842	kGac13842	lin	0.0005	0.0005	0.0005	0
vGac13843	kGac13843	lin	0.0005	0.0005	0.0005	0
vGac13844	kGac13844	lin	0.0005	0.0005	0.0005	0
vGac13845	kGac13845	lin	0.0005	0.0005	0.0005	0
vGac13846	kGac13846	lin	0.0005	0.0005	0.0005	0
vGac13847	kGac13847	lin	0.0005	0.0005	0.0005	0
vGac13848	kGac13848	lin	0.0005	0.0005	0.0005	0
vGac13849	kGac13849	lin	0.0005	0.0005	0.0005	0
vGac13850	kGac13850	lin	0.0005	0.0005	0.0005	0
vGac13851	kGac13851	lin	0.0005	0.0005	0.0005	0
vGac13852	kGac13852	lin	0.0005	0.0005	0.0005	0
vGac13853	kGac13853	lin	0.0005	0.0005	0.0005	0
vGac13854	kGac13854	lin	0.0005	0.0005	0.0005	0
vGac13855	kGac13855	lin	0.0005	0.0005	0.0005	0
vGac13856	kGac13856	lin	0.0005	0.0005	0.0005	0
vGac13857	kGac13857	lin	0.0005	0.0005	0.0005	0
vGac13858	kGac13858	lin	0.0005	0.0005	0.0005	0
vGac13859	kGac13859	lin	0.0005	0.0005	0.0005	0
vGac13860	kGac13860	lin	0.0005	0.0005	0.0005	0
vGac13861	kGac13861	lin	0.0005	0.0005	0.0005	0
vGac13862	kGac13862	lin	0.0005	0.0005	0.0005	0
vGac13863	kGac13863	lin	0.0005	0.0005	0.0005	0
vGac13864	kGac13864	lin	0.0005	0.0005	0.0005	0
vGac13865	kGac13865	lin	0.0005	0.0005	0.0005	0
vGac13866	kGac13866	lin	0.0005	0.0005	0.0005	0
vGac13867	kGac13867	lin	0.0005	0.0005	0.0005	0
vGac13868	kGac13868	lin	0.0005	0.0005	0.0005	0
vGac13869	kGac13869	lin	0.0005	0.0005	0.0005	0
vGac13870	kGac13870	lin	0.0005	0.0005	0.0005	0
vGac13871	kGac13871	lin	0.0005	0.0005	0.0005	0
vGac13872	kGac13872	lin	0.0005	0.0005	0.0005	0
vGac13873	kGac13873	lin	0.0005	0.0005	0.0005	0
vGac13874	kGac13874	lin	0.0005	0.0005	0.0005	0
vGac13875	kGac13875	lin	0.0005	0.0005	0.0005	0
vGac13876	kGac13876	lin	0.0005	0.0005	0.0005	0
vGac13877	kGac13877	lin	0.0005	0.0005	0.0005	0
vGac13878	kGac13878	lin	0.0005	0.0005	0.0005	0
vGac13879	kGac13879	lin	0.0005	0.0005	0.0005	0
vGac13880	kGac13880	lin	0.0005	0.0005	0.0005	0
vGac13881	kGac13881	lin	0.0005	0.0005	0.0005	0
vGac13882	kGac13882	lin	0.0005	0.0005	0.0005	0
vGac13883	kGac13883	lin	0.0005	0.0005	0.0005	0
vGac13884	kGac13884	lin	0.0005	0.0005	0.0005	0
vGac13885	kGac13885	lin	0.0005	0.0005	0.0005	0
vGac13886	kGac13886	lin	0.0005	0.0005	0.0005	0
vGac13887	kGac13887	lin	0.0005	0.0005	0.0005	0
vGac13888	kGac13888	lin	0.0005	0.0005	0.0005	0
vGac13889	kGac13889	lin	0.0005	0.0005	0.0005	0
vGac13890	kGac13890	lin	0.0005	0.0005	0.0005	0
vGac13891	kGac13891	lin	0.0005	0.0005	0.0005	0
vGac13892	kGac13892	lin	0.0005	0.0005	0.0005	0
vGac13893	kGac13893	lin	0.0005	0.0005	0.0005	0
vGac13894	kGac13894	lin	0.0005	0.0005	0.0005	0
vGac13895	kGac13895	lin	0.0005	0.0005	0.0005	0
vGac13896	kGac13896	lin	0.0005	0.0005	0.0005	0
vGac13897	kGac13897	lin	0.0005	0.0005	0.0005	0
vGac13898	kGac13898	lin	0.0005	0.0005	0.0005	0
vGac13899	kGac13899	lin	0.0005	0.0005	0.0005	0
vGac13900	kGac13900	lin	0.0005	0.0005	0.0005	0
vGac13901	kGac13901	lin	0.0005	0.0005	0.0005	0
vGac13902	kGac13902	lin	0.0005	0.0005	0.0005	0
vGac13903	kGac13903	lin	0.0005	0.0005	0.0005	0
vGac13904	kGac13904	lin	0.0005	0.0005	0.0005	0
vGac13905	kGac13905	lin	0.0005	0.0005	0.0005	0
vGac13906	kGac13906	lin	0.0005	0.0005	0.0005	0
vGac13907	kGac13907	lin	0.0005	0.0005	0.0005	0
vGac13908	kGac13908	lin	0.0005	0.0005	0.0005	0
vGac13909	kGac13909	lin	0.0005	0.0005	0.0005	0
vGac13910	kGac13910	lin	0.0005	0.0005	0.0005	0
vGac13911	kGac13911	lin	0.0005	0.0005	0.0005	0
vGac13912	kGac13912	lin	0.0005	0.0005	0.0005	0
vGac13913	kGac13913	lin	0.0005	0.0005	0.0005	0
vGac13914	kGac13914	lin	0.0005	0.0005	0.0005	0
vGac13915	kGac13915	lin	0.0005	0.0005	0.0005	0
vGac13916	kGac13916	lin	0.0005	0.0005	0.0005	0
vGac13917	kGac13917	lin	0.0005	0.0005	0.0005	0
vGac13918	kGac13918	lin	0.0005	0.0005	0.0005	0
vGac13919	kGac13919	lin	0.0005	0.0005	0.0005	0
vGac13920	kGac13920	lin	0.0005	0.0005	0.0005	0
vGac13921	kGac13921	lin	0.0005	0.0005	0.0005	0
vGac13922	kGac13922	lin	0.0005	0.0005	0.0005	0
vGac13923	kGac13923	lin	0.0005	0.0005	0.0005	0
vGac13924	kGac13924	lin	0.0005	0.0005	0.0005	0
vGac13925	kGac13925	lin	0.0005	0.0005	0.0005	0
vGac13926	kGac13926	lin	0.0005	0.0005	0.0005	0
vGac13927	kGac13927	lin	0.0005	0.0005	0.0005	0
vGac13928	kGac13928	lin	0.0005	0.0005	0.0005	0
vGac13929	kGac13929	lin	0.0005	0.0005	0.0005	0
vGac13930	kGac13930	lin	0.0005	0.0005	0.0005	0
vGac13931	kGac13931	lin	0.0005	0.0005	0.0005	0
vGac13932	kGac13932	lin	0.0005	0.0005	0.0005	0
vGac13933	kGac13933	lin	0.0005	0.0005	0.0005	0
vGac13934	kGac13934	lin	0.0005	0.0005	0.0005	0
vGac13935	kGac13935	lin	0.0005	0.0005	0.0005	0
vGac13936	kGac13936	lin	0.0005	0.0005	0.0005	0
vGac13937	kGac13937	lin	0.0005	0.0005	0.0005	0
vGac13938	kGac13938	lin	0.0005	0.0005	0.0005	0
vGac13939	kGac13939	lin	0.0005	0.0005	0.0005	0
vGac13940	kGac13940	lin	0.0005	0.0005	0.0005	0
vGac13941	kGac13941	lin	0.0005	0.0005	0.0005	0
vGac13942	kGac13942	lin	0.0005	0.0005	0.0005	0
vGac13943	kGac13943	lin	0.0005	0.0005	0.0005	0
vGac13944	kGac13944	lin	0.0005	0.0005	0.0005	0
vGac13945	kGac13945	lin	0.0005	0.0005	0.0005	0
vGac13946	kGac13946	lin	0.0005	0.0005	0.0005	0
vGac13947	kGac13947	lin	0.0005	0.0005	0.0005	0
vGac13948	kGac13948	lin	0.0005	0.0005	0.0005	0
vGac13949	kGac13949	lin	0.0005	0.0005	0.0005	0
vGac13950	kGac13950	lin	0.0005	0.0005	0.0005	0
vGac13951	kGac13951	lin	0.0005	0.0005	0.0005	0
vGac13952	kGac13952	lin	0.0005	0.0005	0.0005	0
vGac13953	kGac13953	lin	0.0005	0.0005	0.0005	0
vGac13954	kGac13954	lin	0.0005	0.0005	0.0005	0
vGac13955	kGac13955	lin	0.0005	0.0005	0.0005	0
vGac13956	kGac13956	lin	0.0005	0.0005	0.0005	0
vGac13957	kGac13957	lin	0.0005	0.0005	0.0005	0
vGac13958	kGac13958	lin	0.0005	0.0005	0.0005	0
vGac13959	kGac13959	lin	0.0005	0.0005	0.0005	0
vGac13960	kGac13960	lin	0.0005	0.0005	0.0005	0
vGac13961	kGac13961	lin	0.0005	0.0005	0.0005	0
vGac13962	kGac13962	lin	0.0005	0.0005	0.0005	0
vGac13963	kGac13963	lin	0.0005	0.0005	0.0005	0
vGac13964	kGac13964	lin	0.0005	0.0005	0.0005	0
vGac13965	kGac13965	lin	0.0005	0.0005	0.0005	0
vGac13966	kGac13966	lin	0.0005	0.0005	0.0005	0
vGac13967	kGac13967	lin	0.0005	0.0005	0.0005	0
vGac13968	kGac13968	lin	0.0005	0.0005	0.0005	0
vGac13969	kGac13969	lin	0.0005	0.0005	0.0005	0
vGac13970	kGac13970	lin	0.0005	0.0005	0.0005	0
vGac13971	kGac13971	lin	0.0005	0.0005	0.0005	0
vGac13972	kGac13972	lin	0.0005	0.0005	0.0005	0
vGac13973	kGac13973	lin	0.0005	0.0005	0.0005	0
vGac13974	kGac13974	lin	0.0005	0.0005	0.0005	0
vGac13975	kGac13975	lin	0.0005	0.0005	0.0005	0
vGac13976	kGac13976	lin	0.0005	0.0005	0.0005	0
vGac13977	kGac13977	lin	0.0005	0.0005	0.0005	0
vGac13978	kGac13978	lin	0.0005	0.0005	0.0005	0
vGac13979	kGac13979	lin	0.0005	0.0005	0.0005	0
vGac13980	kGac13980	lin	0.0005	0.0005	0.0005	0
vGac13981	kGac13981	lin	0.0005	0.0005	0.0005	0
vGac13982	kGac13982	lin	0.0005	0.0005	0.0005	0
vGac13983	kGac13983	lin	0.0005	0.0005	0.0005	0
vGac13984	kGac13984	lin	0.0005	0.0005	0.0005	0
vGac13985	kGac13985	lin	0.0005	0.0005	0.0005	0
vGac13986	kGac13986	lin	0.0005	0.0005	0.0005	0
vGac13987	kGac13987	lin	0.0005	0.0005	0.0005	0
vGac13988	kGac13988	lin	0.0005	0.0005	0.0005	0
vGac13989	kGac13989	lin	0.0005	0.0005	0.0005	0
vGac13990	kGac13990	lin	0.0005	0.0005	0.0005	0
vGac13991	kGac13991	lin	0.0005	0.0005	0.0005	0
vGac13992	kGac13992	lin	0.0005	0.0005	0.0005	0
vGac13993	kGac13993	lin	0.0005	0.0005	0.0005	0
vGac13994	kGac13994	lin	0.0005	0.0005	0.0005	0
vGac13995	kGac13995	lin	0.0005	0.0005	0.0005	0
vGac13996	kGac13996	lin	0.0005	0.0005	0.0005	0
vGac13997	kGac13997	lin	0.0005	0.0005	0.0005	0
vGac13998	kGac13998	lin	0.0005	0.0005	0.0005	0
vGac13999	kGac13999	lin	0.0005	0.0005	0.0005	0
vGac14000	kGac14000	lin	0.0005	0.0005	0.0005	0
vGac14001	kGac14001	lin	0.0005	0.0005	0.0005	0
vGac14002	kGac14002	lin	0.0005	0.0005	0.0005	0
vGac14003	kGac14003	lin	0.0005	0.0005	0.0005	0
vGac14004	kGac14004	lin	0.0005	0.0005	0.0005	0
vGac14005	kGac14005	lin	0.0005	0.0005	0.0005	0
vGac14006	kGac14006	lin	0.0005	0.0005	0.0005	0
vGac14007	kGac14007	lin	0.0005	0.0005	0.0005	0
vGac14008	kGac14008	lin	0.0005	0.0005	0.0005	0
vGac14009	kGac14009	lin	0.0005	0.0005	0.0005	0
vGac14010	kGac14010	lin	0.0005	0.0005	0.0005	0
vGac14011	kGac14011	lin	0.0005	0.0005	0.0005	0
vGac14012	kGac14012	lin	0.0005	0.0005	0.0005	0
vGac14013	kGac14013	lin	0.0005	0.0005	0.0005	0
vGac14014	kGac14014	lin	0.0005	0.0005	0.0005	0
vGac14015	kGac14015	lin	0.0005	0.0005	0.0005	0
vGac14016	kGac14016	lin	0.0005	0.0005	0.0005	0
vGac14017	kGac14017	lin	0.0005	0.0005	0.0005	0
vGac14018	kGac14018	lin	0.0005	0.0005	0.0005	0
vGac14019	kGac14019	lin	0.0005	0.0005	0.0005	0
vGac14020	kGac14020	lin	0.0005	0.0005	0.0005	0
vGac14021	kGac14021	lin	0.0005	0.0005	0.0005	0
vGac14022	kGac14022	lin	0.0005	0.0005	0.0005	0
vGac14023	kGac14023	lin	0.0005	0.0005	0.0005	0
vGac14024	kGac14024	lin	0.0005	0.0005	0.0005	0
vGac14025	kGac14025	lin	0.0005	0.0005	0.0005	0
vGac14026	kGac14026	lin	0.0005	0.0005	0.0005	0
vGac14027	kGac14027	lin	0.0005	0.0005	0.0005	0
vGac14028	kGac14028	lin	0.0005	0.0005	0.0005	0
vGac14029	kGac14029	lin	0.0005	0.0005	0.0005	0
vGac14030	kGac14030	lin	0.0005	0.0005	0.0005	0
vGac14031	kGac14031	lin	0.0005	0.0005	0.0005	0
vGac14032	kGac14032	lin	0.0005	0.0005	0.0005	0
vGac14033	kGac14033	lin	0.0005	0.0005	0.0005	0
vGac14034	kGac14034	lin	0.0005	0.0005	0.0005	0
vGac14035	kGac14035	lin	0.0005	0.0005	0.0005	0
vGac14036	kGac14036	lin	0.0005	0.0005	0.0005	0
vGac14037	kGac14037	lin	0.0005	0.0005	0.0005	0
vGac14038	kGac14038	lin	0.0005	0.0005	0.0005	0
vGac14039	kGac14039	lin	0.0005	0.0005	0.0005	0
vGac14040	kGac14040	lin	0.0005	0.0005	0.0005	0
vGac14041	kGac14041	lin	0.0005	0.0005	0.0005	0
vGac14042	kGac14042	lin	0.0005	0.0005	0.0005	0
vGac14043	kGac14043	lin	0.0005	0.0005	0.0005	0
vGac14044	kGac14044	lin	0.0005	0.0005	0.0005	0
vGac14045	kGac14045	lin	0.0005	0.0005	0.0005	0
vGac14046	kGac14046	lin	0.0005	0.0005	0.0005	0
vGac14047	kGac14047	lin	0.0005	0.0005	0.0005	0
vGac14048	kGac14048	lin	0.0005	0.0005	0.0005	0
vGac14049	kGac14049	lin	0.0005	0.0005	0.0005	0
vGac14050	kGac14050	lin	0.0005	0.0005	0.0005	0
vGac14051	kGac14051	lin	0.0005	0.0005	0.0005	0
vGac14052	kGac14052	lin	0.0005	0.0005	0.0005	0
vGac14053	kGac14053	lin	0.0005	0.0005	0.0005	0
vGac14054	kGac14054	lin	0.0005	0.0005	0.0005	0
vGac14055	kGac14055	lin	0.0005	0.0005	0.0005	0
vGac14056	kGac14056	lin	0.0005	0.0005	0.0005	0
vGac14057	kGac14057	lin	0.0005	0.0005	0.0005	0
vGac14058	kGac14058	lin	0.0005	0.0005	0.0005	0
vGac14059	kGac14059	lin	0.0005	0.0005	0.0005	0
vGac14060	kGac14060	lin	0.0005	0.0005	0.0005	0
vGac14061	kGac14061	lin	0.0005	0.0005	0.0005	0
vGac14062	kGac14062	lin	0.0005	0.0005	0.0005	0
vGac14063	kGac14063	lin	0.0005	0.0005	0.0005	0
vGac14064	kGac14064	lin	0.0005	0.0005	0.0005	0
vGac14065	kGac14065	lin	0.0005	0.0005	0.0005	0
vGac14066	kGac14066	lin	0.0005	0.0005	0.0005	0
vGac14067	kGac14067	lin	0.0005	0.0005	0.0005	0
vGac14068	kGac14068	lin	0.0005	0.0005	0.0005	0
vGac14069	kGac14069	lin	0.0005	0.0005	0.0005	0
vGac14070	kGac14070	lin	0.0005	0.0005	0.0005	0
vGac14071	kGac14071	lin	0.0005	0.0005	0.0005	0
vGac14072	kGac14072	lin	0.0005	0.0005	0.0005	0
vGac14073	kGac14073	lin	0.0005	0.0005	0.0005	0
vGac14074	kGac14074	lin	0.0005	0.0005	0.0005	0
vGac14075	kGac14075	lin	0.0005	0.0005	0.0005	0
vGac14076	kGac14076	lin	0.0005	0.0005	0.0005	0
vGac14077	kGac14077	lin	0.0005	0.0005	0.0005	0
vGac14078	kGac14078	lin	0.0005	0.0005	0.0005	0
vGac14079	kGac14079	lin	0.0005	0.0005	0.0005	0
vGac14080	kGac14080	lin	0.0005	0.0005	0.0005	0
vGac14081	kGac14081	lin	0.0005	0.0005	0.0005	0
vGac14082	kGac14082	lin	0.0005	0.0005	0.0005	0
vGac14083	kGac14083	lin	0.0005	0.0005	0.0005	0
vGac14084	kGac14084	lin	0.0005	0.0005	0.0005	0
vGac14085	kGac14085	lin	0.0005	0.0005	0.0005	0
vGac14086	kGac14086	lin	0.0005	0.0005	0.0005	0
vGac14087	kGac14087	lin	0.0005	0.0005	0.0005	0
vGac14088	kGac14088	lin	0.0005	0.0005	0.0005	0
vGac14089	kGac14089	lin	0.0005	0.0005	0.0005	0
vGac14090	kGac14090	lin	0.0005	0.0005	0.0005	0
vGac14091	kGac14091	lin	0.0005	0.0005	0.0005	0
vGac14092	kGac14092	lin	0.0005	0.0005	0.0005	0
vGac14093	kGac14093	lin	0.0005	0.0005	0.0005	0
vGac14094	kGac14094	lin	0.0005	0.0005	0.0005	0
vGac14095	kGac14095	lin	0.0005	0.0005	0.0005	0
vGac14096	kGac14096	lin	0.0005	0.0005	0.0005	0
vGac14097	kGac14097	lin	0.0005	0.0005	0.0005	0
vGac14098	kGac14098	lin	0.0005	0.0005	0.0005	0
vGac14099	kGac14099	lin	0.0005	0.0005	0.0005	0
vGac14100	kGac14100	lin	0.0005	0.0005	0.0005	0
vGac14101	kGac14101	lin	0.0005	0.0005	0.0005	0
vGac14102	kGac14102	lin	0.0005	0.0005	0.0005	0
vGac14103	kGac14103	lin	0.0005	0.0005	0.0005	0
vGac14104	kGac14104	lin	0.0005	0.0005	0.0005	0
vGac14105	kGac14105	lin	0.0005	0.0005	0.0005	0
vGac14106	kGac14106	lin	0.0005	0.0005	0.0005	0
vGac14107	kGac14107	lin	0.0005	0.0005	0.0005	0
vGac14108	kGac14108	lin	0.0005	0.0005	0.0005	0
vGac14109	kGac14109	lin	0.0005	0.0005	0.0005	0
vGac14110	kGac14110	lin	0.0005	0.0005	0.0005	0
vGac14111	kGac14111	lin	0.0005	0.0005	0.0005	0
vGac14112	kGac14112	lin	0.0005	0.0005	0.0005	0
vGac14113	kGac14113	lin	0.0005	0.0005	0.0005	0
vGac14114	kGac14114	lin	0.0005	0.0005	0.0005	0
vGac14115	kGac14115	lin	0.0005	0.0005	0.0005	0
vGac14116	kGac14116	lin	0.0005	0.0005	0.0005	0
vGac14117	kGac14117	lin	0.0005	0.0005	0.0005	0
vGac14118	kGac14118	lin	0.0005	0.0005	0.0005	0
vGac14119	kGac14119	lin	0.0005	0.0005	0.0005	0
vGac14120	kGac14120	lin	0.0005	0.0005	0.0005	0
vGac14121	kGac14121	lin	0.0005	0.0005	0.0005	0
vGac14122	kGac14122	lin	0.0005	0.0005	0.0005	0
vGac14123	kGac14123	lin	0.0005	0.0005	0.0005	0
vGac14124	kGac14124	lin	0.0005	0.0005	0.0005	0
vGac14125	kGac14125	lin	0.0005	0.0005	0.0005	0
vGac14126	kGac14126	lin	0.0005	0.0005	0.0005	0
vGac14127	kGac14127	lin	0.0005	0.0005	0.0005	0
vGac14128	kGac14128	lin	0.0005	0.0005	0.0005	0
vGac14129	kGac14129	lin	0.0005	0.0005	0.0005	0
vGac14130	kGac14130	lin	0.0005	0.0005	0.0005	0
vGac14131	kGac14131	lin	0.0005	0.0005	0.0005	0
vGac14132	kGac14132	lin	0.0005	0.0005	0.0005	0
vGac14133	kGac14133	lin	0.0005	0.0005	0.0005	0
vGac14134	kGac14134	lin	0.0005	0.0005	0.0005	0
vGac14135	kGac14135	lin	0.0005	0.0005	0.0005	0
vGac14136	kGac14136	lin	0.0005	0.0005	0.0005	0
vGac14137	kGac14137	lin	0.0005	0.0005	0.0005	0
vGac14138	kGac14138	lin	0.0005	0.0005	0.0005	0
vGac14139	kGac14139	lin	0.0005	0.0005	0.0005	0
vGac14140	kGac14140	lin	0.0005	0.0005	0.0005	0
vGac14141	kGac14141	lin	0.0005	0.0005	0.0005	0
vGac14142	kGac14142	lin	0.0005	0.0005	0.0005	0
vGac14143	kGac14143	lin	0.0005	0.0005	0.0005	0
vGac14144	kGac14144	lin	0.0005	0.0005	0.0005	0
vGac14145	kGac14145	lin	0.0005	0.0005	0.0005	0
vGac14146	kGac14146	lin	0.0005	0.0005	0.0005	0
vGac14147	kGac14147	lin	0.0005	0.0005	0.0005	0
vGac14148	kGac14148	lin	0.0005	0.0005	0.0005	0
vGac14149	kGac14149	lin	0.0005	0.0005	0.0005	0
vGac14150	kGac14150	lin	0.0005	0.0005	0.0005	0
vGac14151	kGac14151	lin	0.0005	0.0005	0.0005	0
vGac14152	kGac14152	lin	0.0005	0.0005	0.0005	0
vGac14153	kGac14153	lin	0.0005	0.0005	0.0005	0
vGac14154	kGac14154	lin	0.0005	0.0005	0.0005	0
vGac14155	kGac14155	lin	0.0005	0.0005	0.0005	0
vGac14156	kGac14156	lin	0.0005	0.0005	0.0005	0
vGac14157	kGac14157	lin	0.0005	0.0005	0.0005	0
vGac14158	kGac14158	lin	0.0005	0.0005	0.0005	0
vGac14159	kGac14159	lin	0.0005	0.0005	0.0005	0
vGac14160	kGac14160	lin	0.0005	0.0005	0.0005	0
vGac14161	kGac14161	lin	0.0005	0.0005	0.0005	0
vGac14162	kGac14162	lin	0.0005	0.0005	0.0005	0
vGac14163	kGac14163	lin	0.0005	0.0005	0.0005	0
vGac14164	kGac14164	lin	0.0005	0.0005	0.0005	0
vGac14165	kGac14165	lin	0.0005	0.0005	0.0005	0
vGac14166	kGac14166	lin	0.0005	0.0005	0.0005	0
vGac14167	kGac14167	lin	0.0005	0.0005	0.0005	0
vGac14168	kGac14168	lin	0.0005	0.0005	0.0005	0
vGac14169	kGac14169	lin	0.0005	0.0005	0.0005	0
vGac14170	kGac14170	lin	0.0005	0.0005	0.0005	0
