reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vGac106	kGac106	lin	0.0005	0.0005	0.0005	0
vGac107	kGac107	lin	0.0005	0.0005	0.0005	0
vGac108	kGac108	lin	0.0005	0.0005	0.0005	0
vGac109	kGac109	lin	0.0005	0.0005	0.0005	0
vGac110	kGac110	lin	0.0005	0.0005	0.0005	0
vGac111	kGac111	lin	0.0005	0.0005	0.0005	0
vGac112	kGac112	lin	0.0005	0.0005	0.0005	0
vGac113	kGac113	lin	0.0005	0.0005	0.0005	0
vGac114	kGac114	lin	0.0005	0.0005	0.0005	0
vGac115	kGac115	lin	0.0005	0.0005	0.0005	0
vGac116	kGac116	lin	0.0005	0.0005	0.0005	0
vGac117	kGac117	lin	0.0005	0.0005	0.0005	0
vGac118	kGac118	lin	0.0005	0.0005	0.0005	0
vGac119	kGac119	lin	0.0005	0.0005	0.0005	0
vGac120	kGac120	lin	0.0005	0.0005	0.0005	0
vGac121	kGac121	lin	0.0005	0.0005	0.0005	0
vGac122	kGac122	lin	0.0005	0.0005	0.0005	0
vGac123	kGac123	lin	0.0005	0.0005	0.0005	0
vGac124	kGac124	lin	0.0005	0.0005	0.0005	0
vGac125	kGac125	lin	0.0005	0.0005	0.0005	0
vGac126	kGac126	lin	0.0005	0.0005	0.0005	0
vGac127	kGac127	lin	0.0005	0.0005	0.0005	0
vGac128	kGac128	lin	0.0005	0.0005	0.0005	0
vGac129	kGac129	lin	0.0005	0.0005	0.0005	0
vGac130	kGac130	lin	0.0005	0.0005	0.0005	0
vGac131	kGac131	lin	0.0005	0.0005	0.0005	0
vGac132	kGac132	lin	0.0005	0.0005	0.0005	0
vGac133	kGac133	lin	0.0005	0.0005	0.0005	0
vGac134	kGac134	lin	0.0005	0.0005	0.0005	0
vGac135	kGac135	lin	0.0005	0.0005	0.0005	0
vGac136	kGac136	lin	0.0005	0.0005	0.0005	0
vGac137	kGac137	lin	0.0005	0.0005	0.0005	0
vGac138	kGac138	lin	0.0005	0.0005	0.0005	0
vGac139	kGac139	lin	0.0005	0.0005	0.0005	0
vGac140	kGac140	lin	0.0005	0.0005	0.0005	0
vGac141	kGac141	lin	0.0005	0.0005	0.0005	0
vGac142	kGac142	lin	0.0005	0.0005	0.0005	0
vGac143	kGac143	lin	0.0005	0.0005	0.0005	0
vGac144	kGac144	lin	0.0005	0.0005	0.0005	0
vGac145	kGac145	lin	0.0005	0.0005	0.0005	0
vGac146	kGac146	lin	0.0005	0.0005	0.0005	0
vGac147	kGac147	lin	0.0005	0.0005	0.0005	0
vGac148	kGac148	lin	0.0005	0.0005	0.0005	0
vGac149	kGac149	lin	0.0005	0.0005	0.0005	0
vGac150	kGac150	lin	0.0005	0.0005	0.0005	0
vGac151	kGac151	lin	0.0005	0.0005	0.0005	0
vGac152	kGac152	lin	0.0005	0.0005	0.0005	0
vGac153	kGac153	lin	0.0005	0.0005	0.0005	0
vGac154	kGac154	lin	0.0005	0.0005	0.0005	0
vGac155	kGac155	lin	0.0005	0.0005	0.0005	0
vGac156	kGac156	lin	0.0005	0.0005	0.0005	0
vGac157	kGac157	lin	0.0005	0.0005	0.0005	0
vGac158	kGac158	lin	0.0005	0.0005	0.0005	0
vGac159	kGac159	lin	0.0005	0.0005	0.0005	0
vGac160	kGac160	lin	0.0005	0.0005	0.0005	0
vGac161	kGac161	lin	0.0005	0.0005	0.0005	0
vGac162	kGac162	lin	0.0005	0.0005	0.0005	0
vGac163	kGac163	lin	0.0005	0.0005	0.0005	0
vGac164	kGac164	lin	0.0005	0.0005	0.0005	0
vGac165	kGac165	lin	0.0005	0.0005	0.0005	0
vGac166	kGac166	lin	0.0005	0.0005	0.0005	0
vGac167	kGac167	lin	0.0005	0.0005	0.0005	0
vGac168	kGac168	lin	0.0005	0.0005	0.0005	0
vGac169	kGac169	lin	0.0005	0.0005	0.0005	0
vGac170	kGac170	lin	0.0005	0.0005	0.0005	0
vGac171	kGac171	lin	0.0005	0.0005	0.0005	0
vGac172	kGac172	lin	0.0005	0.0005	0.0005	0
vGac173	kGac173	lin	0.0005	0.0005	0.0005	0
vGac174	kGac174	lin	0.0005	0.0005	0.0005	0
vGac175	kGac175	lin	0.0005	0.0005	0.0005	0
vGac176	kGac176	lin	0.0005	0.0005	0.0005	0
vGac177	kGac177	lin	0.0005	0.0005	0.0005	0
vGac178	kGac178	lin	0.0005	0.0005	0.0005	0
vGac179	kGac179	lin	0.0005	0.0005	0.0005	0
vGac180	kGac180	lin	0.0005	0.0005	0.0005	0
vGac181	kGac181	lin	0.0005	0.0005	0.0005	0
vGac182	kGac182	lin	0.0005	0.0005	0.0005	0
vGac183	kGac183	lin	0.0005	0.0005	0.0005	0
vGac184	kGac184	lin	0.0005	0.0005	0.0005	0
vGac185	kGac185	lin	0.0005	0.0005	0.0005	0
vGac186	kGac186	lin	0.0005	0.0005	0.0005	0
vGac187	kGac187	lin	0.0005	0.0005	0.0005	0
vGac188	kGac188	lin	0.0005	0.0005	0.0005	0
vGac189	kGac189	lin	0.0005	0.0005	0.0005	0
vGac190	kGac190	lin	0.0005	0.0005	0.0005	0
vGac191	kGac191	lin	0.0005	0.0005	0.0005	0
vGac192	kGac192	lin	0.0005	0.0005	0.0005	0
vGac193	kGac193	lin	0.0005	0.0005	0.0005	0
vGac194	kGac194	lin	0.0005	0.0005	0.0005	0
vGac195	kGac195	lin	0.0005	0.0005	0.0005	0
vGac196	kGac196	lin	0.0005	0.0005	0.0005	0
vGac197	kGac197	lin	0.0005	0.0005	0.0005	0
vGac198	kGac198	lin	0.0005	0.0005	0.0005	0
vGac199	kGac199	lin	0.0005	0.0005	0.0005	0
vGac200	kGac200	lin	0.0005	0.0005	0.0005	0
vGac201	kGac201	lin	0.0005	0.0005	0.0005	0
vGac202	kGac202	lin	0.0005	0.0005	0.0005	0
vGac203	kGac203	lin	0.0005	0.0005	0.0005	0
vGac204	kGac204	lin	0.0005	0.0005	0.0005	0
vGac205	kGac205	lin	0.0005	0.0005	0.0005	0
vGac206	kGac206	lin	0.0005	0.0005	0.0005	0
vGac207	kGac207	lin	0.0005	0.0005	0.0005	0
vGac208	kGac208	lin	0.0005	0.0005	0.0005	0
vGac209	kGac209	lin	0.0005	0.0005	0.0005	0
vGac210	kGac210	lin	0.0005	0.0005	0.0005	0
vGac211	kGac211	lin	0.0005	0.0005	0.0005	0
vGac212	kGac212	lin	0.0005	0.0005	0.0005	0
vGac213	kGac213	lin	0.0005	0.0005	0.0005	0
vGac214	kGac214	lin	0.0005	0.0005	0.0005	0
vGac215	kGac215	lin	0.0005	0.0005	0.0005	0
vGac216	kGac216	lin	0.0005	0.0005	0.0005	0
vGac217	kGac217	lin	0.0005	0.0005	0.0005	0
vGac218	kGac218	lin	0.0005	0.0005	0.0005	0
vGac219	kGac219	lin	0.0005	0.0005	0.0005	0
vGac220	kGac220	lin	0.0005	0.0005	0.0005	0
vGac221	kGac221	lin	0.0005	0.0005	0.0005	0
vGac222	kGac222	lin	0.0005	0.0005	0.0005	0
vGac223	kGac223	lin	0.0005	0.0005	0.0005	0
vGac224	kGac224	lin	0.0005	0.0005	0.0005	0
vGac225	kGac225	lin	0.0005	0.0005	0.0005	0
vGac226	kGac226	lin	0.0005	0.0005	0.0005	0
vGac227	kGac227	lin	0.0005	0.0005	0.0005	0
vGac228	kGac228	lin	0.0005	0.0005	0.0005	0
vGac229	kGac229	lin	0.0005	0.0005	0.0005	0
vGac230	kGac230	lin	0.0005	0.0005	0.0005	0
vGac231	kGac231	lin	0.0005	0.0005	0.0005	0
vGac232	kGac232	lin	0.0005	0.0005	0.0005	0
vGac233	kGac233	lin	0.0005	0.0005	0.0005	0
vGac234	kGac234	lin	0.0005	0.0005	0.0005	0
vGac235	kGac235	lin	0.0005	0.0005	0.0005	0
vGac236	kGac236	lin	0.0005	0.0005	0.0005	0
vGac237	kGac237	lin	0.0005	0.0005	0.0005	0
vGac238	kGac238	lin	0.0005	0.0005	0.0005	0
vGac239	kGac239	lin	0.0005	0.0005	0.0005	0
vGac240	kGac240	lin	0.0005	0.0005	0.0005	0
vGac241	kGac241	lin	0.0005	0.0005	0.0005	0
vGac242	kGac242	lin	0.0005	0.0005	0.0005	0
vGac243	kGac243	lin	0.0005	0.0005	0.0005	0
vGac244	kGac244	lin	0.0005	0.0005	0.0005	0
vGac245	kGac245	lin	0.0005	0.0005	0.0005	0
vGac246	kGac246	lin	0.0005	0.0005	0.0005	0
vGac247	kGac247	lin	0.0005	0.0005	0.0005	0
vGac248	kGac248	lin	0.0005	0.0005	0.0005	0
vGac249	kGac249	lin	0.0005	0.0005	0.0005	0
vGac250	kGac250	lin	0.0005	0.0005	0.0005	0
vGac251	kGac251	lin	0.0005	0.0005	0.0005	0
vGac252	kGac252	lin	0.0005	0.0005	0.0005	0
vGac253	kGac253	lin	0.0005	0.0005	0.0005	0
vGac254	kGac254	lin	0.0005	0.0005	0.0005	0
vGac255	kGac255	lin	0.0005	0.0005	0.0005	0
vGac256	kGac256	lin	0.0005	0.0005	0.0005	0
vGac257	kGac257	lin	0.0005	0.0005	0.0005	0
vGac258	kGac258	lin	0.0005	0.0005	0.0005	0
vGac259	kGac259	lin	0.0005	0.0005	0.0005	0
vGac260	kGac260	lin	0.0005	0.0005	0.0005	0
vGac261	kGac261	lin	0.0005	0.0005	0.0005	0
vGac262	kGac262	lin	0.0005	0.0005	0.0005	0
vGac263	kGac263	lin	0.0005	0.0005	0.0005	0
vGac264	kGac264	lin	0.0005	0.0005	0.0005	0
vGac265	kGac265	lin	0.0005	0.0005	0.0005	0
vGac266	kGac266	lin	0.0005	0.0005	0.0005	0
vGac267	kGac267	lin	0.0005	0.0005	0.0005	0
vGac268	kGac268	lin	0.0005	0.0005	0.0005	0
vGac269	kGac269	lin	0.0005	0.0005	0.0005	0
vGac270	kGac270	lin	0.0005	0.0005	0.0005	0
vGac271	kGac271	lin	0.0005	0.0005	0.0005	0
vGac272	kGac272	lin	0.0005	0.0005	0.0005	0
vGac273	kGac273	lin	0.0005	0.0005	0.0005	0
vGac274	kGac274	lin	0.0005	0.0005	0.0005	0
vGac275	kGac275	lin	0.0005	0.0005	0.0005	0
vGac276	kGac276	lin	0.0005	0.0005	0.0005	0
vGac277	kGac277	lin	0.0005	0.0005	0.0005	0
vGac278	kGac278	lin	0.0005	0.0005	0.0005	0
vGac279	kGac279	lin	0.0005	0.0005	0.0005	0
vGac280	kGac280	lin	0.0005	0.0005	0.0005	0
vGac281	kGac281	lin	0.0005	0.0005	0.0005	0
vGac282	kGac282	lin	0.0005	0.0005	0.0005	0
vGac283	kGac283	lin	0.0005	0.0005	0.0005	0
vGac284	kGac284	lin	0.0005	0.0005	0.0005	0
vGac285	kGac285	lin	0.0005	0.0005	0.0005	0
vGac286	kGac286	lin	0.0005	0.0005	0.0005	0
vGac287	kGac287	lin	0.0005	0.0005	0.0005	0
vGac288	kGac288	lin	0.0005	0.0005	0.0005	0
vGac289	kGac289	lin	0.0005	0.0005	0.0005	0
vGac290	kGac290	lin	0.0005	0.0005	0.0005	0
vGac291	kGac291	lin	0.0005	0.0005	0.0005	0
vGac292	kGac292	lin	0.0005	0.0005	0.0005	0
vGac293	kGac293	lin	0.0005	0.0005	0.0005	0
vGac294	kGac294	lin	0.0005	0.0005	0.0005	0
vGac295	kGac295	lin	0.0005	0.0005	0.0005	0
