index	nuc_gene_a__LIGAND_	nuc_gene_i__LIGAND_	nuc_gene_a__RECEPTOR_	nuc_gene_i__RECEPTOR_	cyt_mrna__LIGAND_	cyt_mrna__RECEPTOR_	cyt_prot__LIGAND_	cyt_prot__RECEPTOR_	cyt_prot__LIGAND__RECEPTOR_	
48990.000000	1	1	0	2	3	2	7.87294	1.48138	11.1051	
49020.000000	1	1	0	2	3	2	7.86903	1.48262	11.109	
49050.000000	1	1	0	2	3	2	7.86543	1.48375	11.1126	
49080.000000	1	1	0	2	3	2	7.86211	1.4848	11.1159	
49110.000000	1	1	0	2	3	2	7.85906	1.48577	11.119	
49140.000000	1	1	0	2	3	2	7.85624	1.48666	11.1218	
49170.000000	1	1	0	2	3	2	7.85364	1.48748	11.1244	
49200.000000	0	2	0	2	3	2	7.85124	1.48824	11.1268	
49230.000000	0	2	0	2	3	2	7.84903	1.48894	11.129	
49260.000000	0	2	0	2	3	2	7.847	1.48959	11.131	
49290.000000	1	1	0	2	3	2	7.84512	1.49018	11.1329	
49320.000000	1	1	0	2	3	2	7.84339	1.49073	11.1346	
49350.000000	0	2	0	2	3	2	7.8418	1.49124	11.1362	
49380.000000	0	2	0	2	3	2	7.84033	1.4917	11.1377	
49410.000000	0	2	0	2	3	2	7.83898	1.49213	11.1391	
49440.000000	0	2	0	2	3	2	7.83773	1.49253	11.1403	
49470.000000	0	2	0	2	3	2	7.83658	1.49289	11.1414	
49500.000000	0	2	0	2	3	2	7.83553	1.49323	11.1425	
49530.000000	0	2	0	2	3	2	7.83455	1.49354	11.1435	
49560.000000	0	2	0	2	3	2	7.83365	1.49383	11.1444	
49590.000000	0	2	0	2	3	2	7.83283	1.49409	11.1452	
49620.000000	0	2	0	2	3	2	7.83206	1.49433	11.146	
49650.000000	0	2	0	2	3	2	7.83136	1.49456	11.1467	
49680.000000	0	2	0	2	3	2	7.83072	1.49476	11.1473	
49710.000000	0	2	0	2	3	2	7.83013	1.49495	11.1479	
49740.000000	0	2	0	2	3	2	7.82958	1.49512	11.1485	
49770.000000	0	2	0	2	3	2	7.82907	1.49529	11.149	
49800.000000	0	2	0	2	3	2	7.82861	1.49543	11.1494	
49830.000000	0	2	0	2	3	2	7.82818	1.49557	11.1499	
49860.000000	0	2	0	2	3	2	7.82778	1.4957	11.1502	
49890.000000	0	2	0	2	3	2	7.82742	1.49581	11.1506	
49920.000000	0	2	0	2	3	2	7.82708	1.49592	11.1509	
49950.000000	0	2	0	2	3	2	7.82678	1.49602	11.1513	
49980.000000	0	2	0	2	3	2	7.82649	1.49611	11.1515	
50010.000000	0	2	0	2	3	2	7.82623	1.49619	11.1518	
50040.000000	0	2	0	2	3	2	7.82599	1.49627	11.152	
50070.000000	0	2	0	2	3	2	7.82576	1.49634	11.1523	
50100.000000	0	2	0	2	3	2	7.82556	1.49641	11.1525	
50130.000000	0	2	0	2	3	2	7.82537	1.49647	11.1527	
50160.000000	0	2	0	2	3	2	7.82519	1.49652	11.1528	
50190.000000	0	2	0	2	3	2	7.82503	1.49657	11.153	
50220.000000	0	2	0	2	3	2	7.82489	1.49662	11.1531	
50250.000000	0	2	0	2	3	2	7.82475	1.49666	11.1533	
50280.000000	0	2	0	2	3	2	7.82462	1.4967	11.1534	
50310.000000	0	2	0	2	3	2	7.82451	1.49674	11.1535	
50340.000000	0	2	0	2	3	2	7.8244	1.49678	11.1536	
50370.000000	0	2	0	2	3	2	7.8243	1.49681	11.1537	
50400.000000	0	2	0	2	3	2	7.82421	1.49684	11.1538	
50430.000000	0	2	0	2	3	2	7.82413	1.49686	11.1539	
50460.000000	0	2	0	2	3	2	7.82406	1.49689	11.154	
50490.000000	0	2	0	2	3	2	7.82398	1.49691	11.154	
50520.000000	0	2	1	1	3	2	7.82392	1.49693	11.1541	
50550.000000	0	2	1	1	3	2	7.82386	1.49695	11.1542	
50580.000000	0	2	1	1	3	2	7.82381	1.49697	11.1542	
50610.000000	0	2	1	1	3	2	7.82376	1.49698	11.1543	
50640.000000	0	2	1	1	3	2	7.82371	1.497	11.1543	
50670.000000	0	2	1	1	3	2	7.82367	1.49701	11.1544	
50700.000000	0	2	1	1	3	2	7.82363	1.49702	11.1544	
50730.000000	0	2	1	1	3	2	7.82359	1.49703	11.1544	
50760.000000	0	2	1	1	3	2	7.82356	1.49705	11.1545	
50790.000000	0	2	1	1	3	2	7.82353	1.49705	11.1545	
50820.000000	0	2	1	1	3	2	7.8235	1.49706	11.1545	
50850.000000	0	2	1	1	3	2	7.82347	1.49707	11.1546	
50880.000000	0	2	1	1	3	2	7.82345	1.49708	11.1546	
50910.000000	0	2	1	1	3	2	7.82343	1.49709	11.1546	
50940.000000	0	2	2	0	3	2	7.82341	1.49709	11.1546	
50970.000000	0	2	2	0	3	2	7.82339	1.4971	11.1546	
51000.000000	0	2	2	0	3	2	7.82337	1.4971	11.1547	
51030.000000	0	2	2	0	3	2	7.82336	1.49711	11.1547	
51060.000000	0	2	2	0	3	2	7.82334	1.49711	11.1547	
51090.000000	0	2	2	0	3	2	7.82333	1.49712	11.1547	
51120.000000	0	2	1	1	3	2	7.82332	1.49712	11.1547	
51150.000000	0	2	1	1	3	2	7.8233	1.49713	11.1547	
51180.000000	0	2	1	1	3	2	7.82329	1.49713	11.1547	
